Title,Link,Description,Category,Image URL
Immersive Wenches,https://www.nexusmods.com/skyrimspecialedition/mods/595,"Adds wenches to every inn in skyrim to ""serve and chat"" with the patrons of an inn using custom scenes, also some quests, adds barmaids that work as servers/innkeepers and maid wenches with a bodyguard that travel around skyrim. They can be turned into followers (they have custom spells/perks/classes/AI) and can be spouses.",Immersion,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/51189-1-1405324275.jpg
Ruins Clutter Improved,https://www.nexusmods.com/skyrimspecialedition/mods/5870,"This mod does improve textures and meshes and also corrects UV errors of many clutter objects, which can mostly be found in the dungeons of Skyrim.",Models and Textures,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/5870-3-1481215810.jpg
Weapons Armor Clothing and Clutter Fixes,https://www.nexusmods.com/skyrimspecialedition/mods/18994,"Fixes bugs and inconsistencies for Skyrim's weapons, armors, clothing, jewelry, and clutter items.",Bug Fixes,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/18994/18994-1533245114-1467886195.jpeg
SkyHUD,https://www.nexusmods.com/skyrimspecialedition/mods/463,"Toggle HUD elements on or off, scale sizes, change positions and swap elements with alternative version. Features dot crosshair, slim compass, alternate ammo display, detached compass markers and built-in support for font mods.",User Interface,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/463/463-1509171654-2130223191.jpeg
SkyUI SE - Flashing Savegames Fix,https://www.nexusmods.com/skyrimspecialedition/mods/20406,Fixes the flashing savegame entries when trying to save or load a game in the in-game main menu (quest journal).,User Interface,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/20406/20406-1538924499-1287521034.png
Obsidian Weathers and Seasons,https://www.nexusmods.com/skyrimspecialedition/mods/12125,"Sharp, ominous, and atmospheric weathers that accentuate proximal detail while obscuring distant landscapes with mysterious fogs. Obsidian Weathers and Seasons is a collaborative work by the authors of Dolomite and Rustic Weathers; a hybridization of artistic styles that glorifies Skyrim for her beauty while preserving her dated modesty.",Environmental,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/12125-2-1511239520.png
SkyrimSE Re-Engaged ENB,https://www.nexusmods.com/skyrimspecialedition/mods/1089,"(Updated 2 Sept) *Now Supports Night Eye* Includes presets for Cathedral, Vanilla, Aeqiunoctium, Obsidian, Dolomite, NAT, COT, Rustic, Vivid Weathers. Each version has Default, Ultimate and Color Correction versions. Plus optional DOF types.",Presets - ENB and ReShade,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/1089-0-1477880310.jpg
Convenient Horses,https://www.nexusmods.com/skyrimspecialedition/mods/9519,Special role-play overhaul of the most popular and comprehensive horse system for Skyrim.,Creatures and Mounts,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/14950-1-1336822128.jpg
Expressive Facial Animation -Female Edition-,https://www.nexusmods.com/skyrimspecialedition/mods/19181,"This mod replaces the facial expression morphing files for humans and elves used by players and NPCs.This mod modifies all animations including lips, eyebrows and eye movements and expressions.",Animation,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/19181/19181-1542534574-1077375430.jpeg
DLL Plugin Loader,https://www.nexusmods.com/skyrimspecialedition/mods/10546,Simple DLL plugins loader.,Utilities,https://www.nexusmods.com/assets/images/default/noimage.svg
Imperious - Races of Skyrim,https://www.nexusmods.com/skyrimspecialedition/mods/1315,"Imperious makes the races of Skyrim unique and diverse. It overhauls racial abilities, powers and stats, giving each race 3 new racial abilities and a quest to unlock their racial power. NPCs can use them too!","Races, Classes, and Birthsigns",https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/61218-9-1445766322.jpg
MCM Helper,https://www.nexusmods.com/skyrimspecialedition/mods/53000,"Simplifies the creation of Mod Configuration Menus and extends them with powerful new features, such as persistent INI settings and hotkey registration. Mod authors will be able to write simpler, cleaner Papyrus scripts for their configs. Players will be able to spend less time in menus.",Utilities,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/53000/53000-1627746793-1514379922.png
